Player,Pos,Number,FO,FOW,Hits,Plus/Minus,TO,Saves,ShotsFaced,MinutesPlayed,GAA
Lucas Brown,Goalie,1,1,1,0,3,0,100,115,240,3.75
Ben Edwards,Defense,4,0,0,1,2,8,0,0,0,0
Nick DeAngelo,Defense,6,16,11,1,1,0,0,0,0,0
Adam Zukowski,Forward,7,85,49,14,5,8,0,0,0,0
Nic Gingras,Forward,9,41,26,2,4,13,0,0,0,0
Zach Mangel,Forward,10,0,0,2,1,8,0,0,0,0
Daniel Kauber,Forward,11,0,0,1,1,1,0,0,0,0
Jack Gleason,Defense,12,1,1,4,1,13,0,0,0,0
Cam Glonek,Defense,14,1,1,9,3,9,0,0,0,0
Cuan Doig,Forward,16,95,56,4,3,1,0,0,0,0
Tommy Gilligan,Forward,17,13,7,6,4,8,0,0,0,0
Will Smith,Forward,19,3,1,3,0,5,0,0,0,0
Kevin Ma,Defense,20,0,0,0,3,5,0,0,0,0
Patrick O'Shaughnessy,Forward,21,161,97,9,6,9,0,0,0,0
Matt Grady,Forward,22,28,18,13,2,4,0,0,0,0
Nick Ansbacher,Forward,24,5,2,1,6,4,0,0,0,0
Will Hilton,Defense,26,0,0,7,2,7,0,0,0,0
Micheal Vaglia,Forward,28,27,12,0,0,0,0,0,0,0
Mekhi Ashford,Forward,33,0,0,0,0,0,0,0,0,0
Ander Andreev,Goalie,37,0,0,0,0,0,67,80,180,4.3
Florian Zajic,Defense,40,0,0,25,4,6,0,0,0,0
John Migliore,Defense,71,0,0,0,3,0,0,0,0,0
Spencer Haskell,Defense,74,0,0,0,1,0,0,0,0,0
Joey Wateska,Forward,76,0,0,0,0,0,0,0,0,0
Daniel Hu,Forward,91,1,1,4,2,2,0,0,0,0
Carson Rein,Forward,95,26,17,2,1,0,0,0,0,0
Chandler Kotseos,Forward,98,3,1,7,0,4,0,0,0,0
