Player,Pos,Number,FO,FOW,Hits,Plus/Minus,TO,Saves,ShotsFaced,MinutesPlayed,GAA
Lucas Brown,Goalie,1,1,1,0,3,0,107,120,300,3.75
Ben Edwards,Defense,4,0,0,2,3,11,0,0,0,0.0
Nick DeAngelo,Defense,6,29,20,1,2,1,0,0,0,0.0
Adam Zukowski,Forward,7,89,51,15,4,12,0,0,0,0.0
Nic Gingras,Forward,9,61,40,4,4,15,0,0,0,0.0
Zach Mangel,Forward,10,1,0,2,4,8,0,0,0,0.0
Daniel Kauber,Forward,11,0,0,4,4,1,0,0,0,0.0
Jack Gleason,Defense,12,1,1,6,-1,17,0,0,0,0.0
Cam Glonek,Defense,14,1,1,12,8,13,0,0,0,0.0
Cuan Doig,Forward,16,95,56,4,3,1,0,0,0,0.0
Tommy Gilligan,Forward,17,19,10,6,6,10,0,0,0,0.0
Will Smith,Forward,19,3,1,4,2,6,0,0,0,0.0
Kevin Ma,Defense,20,0,0,0,6,6,0,0,0,0.0
Patrick O'Shaughnessy,Forward,21,189,114,10,8,9,0,0,0,0.0
Matt Grady,Forward,22,31,21,13,1,4,0,0,0,0.0
Nick Ansbacher,Forward,24,5,2,3,3,6,0,0,0,0.0
Will Hilton,Defense,26,0,0,10,3,8,0,0,0,0.0
Micheal Vaglia,Forward,28,37,18,3,1,1,0,0,0,0.0
Mekhi Ashford,Forward,33,0,0,0,0,0,0,0,0,0.0
Ander Andreev,Goalie,37,0,0,0,0,0,81,100,180,4.3
Florian Zajic,Defense,40,0,0,28,4,6,0,0,0,0.0
John Migliore,Defense,71,0,0,0,3,0,0,0,0,0.0
Spencer Haskell,Defense,74,0,0,0,2,0,0,0,0,0.0
Joey Wateska,Forward,76,0,0,0,-1,0,0,0,0,0.0
Daniel Hu,Forward,91,2,1,4,2,2,0,0,0,0.0
Carson Rein,Forward,95,28,18,2,0,0,0,0,0,0.0
Chandler Kotseos,Forward,98,3,1,9,2,7,0,0,0,0.0
