FaceoffAttempts,FaceoffWins,Hits,Shots,ShotsFromHouse,TOO,TON,TOD,PEN,PIM,PK,PP,Saves,HitsOpp,PENOPP,PIMOPP
12,6,0,7,2,0,1,1,1,2,0,0,6,0,0,0
20,13,3,11,1,0,2,1,1,2,1,0,10,4,0,0
14,7,0,5,0,1,3,1,0,0,1,0,8,2,1,2
